table_name,column_name,description
fact_quality_test_dim,unit,Makes the value interpretable against spec.
fact_quality_test_dim,pass_fail,The compliance outcome — the core quality KPI.
fact_quality_test_dim,test_datetime,"Timing of the check, for in-process vs. final QA analysis."
fact_sales_order_dim,,"The commercial outcome — what was sold, to whom, and at what value and margin. It is the revenue and profitability backbone, and via run_id it links every sale back to the batch and farms that produced it."
fact_sales_order_dim,order_id,The unit of sale — the grain for revenue and fulfillment reporting.
fact_sales_order_dim,date_key,Enables sales and revenue trending over time.
fact_sales_order_dim,product_key,Attributes revenue to the SKU sold.
fact_sales_order_dim,customer_key,Attributes revenue to the customer/market.
fact_sales_order_dim,run_id,The link that makes a sold product traceable back to its source.
fact_sales_order_dim,order_date,When the sale occurred — for revenue timing and seasonality.
fact_sales_order_dim,customer,The buying account.
fact_sales_order_dim,country,Destination market for export reporting.
fact_sales_order_dim,region,Territory grouping for sales performance.
fact_sales_order_dim,channel,Route to market for channel economics.
fact_sales_order_dim,is_domestic,The home-vs-export revenue split.
fact_sales_order_dim,is_organic,Sizes the premium organic business.
fact_sales_order_dim,product,The product on the order line.
fact_sales_order_dim,quantity_units,Sales volume measure.
fact_sales_order_dim,unit_price_usd,Pricing measure for price realization analysis.
fact_sales_order_dim,revenue_usd,The primary revenue measure (reporting currency).
fact_sales_order_dim,revenue_local,Revenue in the transaction currency for local reconciliation.
fact_sales_order_dim,currency,Identifies the transaction currency.
fact_sales_order_dim,margin_pct,Profitability rate — a core commercial KPI.
fact_sales_order_dim,margin_usd,Absolute profit contribution of the order.
fact_sales_order_dim,on_time_delivery,Service-level KPI for fulfillment reliability.
bridge_lot_run_dim,,"The traceability backbone that records which farmer lots went into which production run. It resolves the many-to-many between supply and production and is what makes farm-to-product (and product-to-farm) tracing possible for certification audits."
bridge_lot_run_dim,run_id,The production batch side of the supply-to-production link.
bridge_lot_run_dim,lot_id,The incoming-supply side of the link — the lot consumed.
bridge_lot_run_dim,farmer_key,Carries the source farm so traceability resolves in one hop.
bridge_lot_run_dim,weight_consumed,How much of each lot fed the batch — supports mass-balance and contribution analysis.
