run_id,plant,line,product,shift,start_datetime,end_datetime,duration_hours,input_weight_kg,expected_yield,actual_yield,yield_pct,avg_brix,grade_a_pct,downtime_minutes,is_organic_run,num_lots_consumed
RUN-000031,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Night,2026-02-26 22:03:00,2026-02-27 04:21:40,6.31,46897.0,2344.8,1774.1,75.66,6.01,68.02,0,False,197
RUN-000032,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Morning,2025-08-31 06:30:00,2025-08-31 14:29:07,7.99,31403.4,13189.4,9855.0,74.72,6.0,77.61,31,True,134
RUN-000033,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Night,2025-08-02 22:09:00,2025-08-03 05:28:35,7.33,25448.3,10688.3,9242.3,86.47,5.99,78.79,34,False,99
RUN-000034,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Afternoon,2025-04-23 14:06:00,2025-04-23 20:40:45,6.58,49658.9,14897.7,12305.1,82.6,5.98,62.12,14,False,198
RUN-000035,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 330ml,Night,2025-04-02 22:21:00,2025-04-03 06:08:51,7.8,34151.6,14343.7,13072.0,91.13,5.97,80.74,27,True,135
RUN-000036,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 330ml,Afternoon,2025-02-21 14:19:00,2025-02-21 23:24:54,9.1,16729.6,7026.4,5610.8,79.85,6.0,66.18,5,False,68
RUN-000037,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 330ml,Night,2026-04-18 22:00:00,2026-04-19 07:21:21,9.36,18176.0,7633.9,6166.7,80.78,5.98,66.23,79,True,77
RUN-000038,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 330ml,Morning,2025-09-26 06:25:00,2025-09-26 13:12:16,6.79,45267.9,19012.5,16687.8,87.77,5.98,67.03,55,False,185
RUN-000039,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Night,2024-11-25 22:27:00,2024-11-26 05:17:52,6.85,27212.4,8163.7,6298.7,77.15,5.98,70.69,36,False,116
RUN-000040,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Night,2024-09-03 22:09:00,2024-09-04 03:33:25,5.41,30826.8,1541.3,1211.1,78.58,5.93,74.07,4,False,135
RUN-000041,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Cream 400ml,Morning,2025-08-15 06:06:00,2025-08-15 15:05:50,9.0,37216.8,6699.0,5764.0,86.04,6.07,78.52,71,True,149
RUN-000042,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Milk 400ml,Morning,2025-10-28 06:08:00,2025-10-28 12:44:54,6.62,14574.2,4372.3,3377.8,77.25,5.92,66.67,12,True,57
RUN-000043,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 330ml,Night,2025-07-24 22:18:00,2025-07-25 06:16:40,7.98,16428.0,6899.8,5444.2,78.9,5.97,73.24,5,True,71
RUN-000044,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Afternoon,2025-05-27 14:08:00,2025-05-27 22:38:43,8.51,38113.5,16007.7,13926.4,87.0,6.01,68.79,34,False,157
RUN-000045,Ben Tre New Facility,Line 2,Desiccated Coconut Premium,Morning,2026-04-14 06:24:00,2026-04-14 10:35:10,4.19,28726.0,3447.1,3107.3,90.14,6.05,74.34,6,False,113
RUN-000046,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 1L,Afternoon,2026-06-02 14:24:00,2026-06-02 20:36:48,6.21,19857.3,8340.1,6366.2,76.33,5.93,64.56,79,False,79
RUN-000047,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Night,2024-09-28 22:24:00,2024-09-29 04:12:34,5.81,19877.9,8348.7,6843.6,81.97,6.02,76.25,11,False,80
RUN-000048,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Cream 400ml,Afternoon,2024-10-02 14:30:00,2024-10-02 20:40:23,6.17,38761.5,6977.1,5629.7,80.69,5.92,79.04,18,True,167
RUN-000049,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Night,2025-09-05 22:18:00,2025-09-06 03:54:37,5.61,26272.1,7881.6,6795.1,86.21,6.08,64.29,14,False,112
RUN-000050,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Afternoon,2024-07-15 14:27:00,2024-07-15 20:24:00,5.95,42420.7,12726.2,10327.1,81.15,6.02,70.11,8,False,174
RUN-000051,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2024-09-11 06:23:00,2024-09-11 12:49:18,6.44,48433.3,20342.0,15993.7,78.62,6.02,69.27,31,False,192
RUN-000052,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Pink 330ml,Night,2025-08-04 22:07:00,2025-08-05 03:57:14,5.84,47992.8,20157.0,15943.4,79.1,5.98,58.08,13,False,198
RUN-000053,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Afternoon,2025-03-20 14:08:00,2025-03-20 19:30:59,5.38,23058.5,4150.5,3098.7,74.66,6.07,60.61,35,False,99
RUN-000054,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Night,2026-02-09 22:19:00,2026-02-10 04:00:52,5.7,17809.3,7479.9,5790.4,77.41,6.03,60.0,200,False,75
RUN-000055,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 330ml,Afternoon,2026-01-03 14:22:00,2026-01-04 00:01:52,9.66,43792.2,18392.7,15933.9,86.63,5.93,64.0,15,False,175
RUN-000056,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-10-18 06:26:00,2025-10-18 10:49:31,4.39,42529.1,17862.2,15092.4,84.49,6.0,70.86,4,False,175
RUN-000057,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Night,2024-10-15 22:24:00,2024-10-16 04:53:49,6.5,26212.1,11009.1,8957.2,81.36,6.01,63.55,14,False,107
RUN-000058,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Night,2026-03-02 22:03:00,2026-03-03 07:44:07,9.69,24933.7,1246.7,918.8,73.7,5.97,60.19,4,False,103
RUN-000059,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 1L,Night,2025-09-20 22:19:00,2025-09-21 05:08:10,6.82,14187.9,5958.9,4720.2,79.21,5.89,68.97,49,False,58
RUN-000060,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Pink 330ml,Morning,2025-08-25 06:17:00,2025-08-25 11:37:55,5.35,20298.8,8525.5,6917.6,81.14,6.06,71.59,1,False,88
RUN-000061,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Afternoon,2024-10-21 14:22:00,2024-10-21 20:11:28,5.82,38486.3,1924.3,1612.5,83.8,6.08,73.2,172,False,153
RUN-000062,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2024-09-17 06:30:00,2024-09-17 14:32:44,8.05,46575.5,2328.8,1946.4,83.58,6.01,67.01,1,False,197
RUN-000063,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Cream 400ml,Night,2024-12-18 22:13:00,2024-12-19 06:01:31,7.81,42416.5,7635.0,6366.5,83.39,5.95,77.14,9,True,175
RUN-000064,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Night,2025-04-07 22:30:00,2025-04-08 04:54:09,6.4,45948.2,19298.2,15784.2,81.79,6.05,67.89,9,False,190
RUN-000065,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Morning,2025-08-13 06:06:00,2025-08-13 13:12:38,7.11,42782.3,17968.6,14856.2,82.68,5.95,74.58,7,True,177
RUN-000066,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Morning,2024-10-18 06:20:00,2024-10-18 13:59:11,7.65,27332.6,4919.9,3736.7,75.95,5.97,67.57,20,False,111
RUN-000067,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Night,2024-10-14 22:26:00,2024-10-15 03:21:25,4.92,31192.6,13100.9,11093.0,84.67,6.04,66.94,16,False,124
RUN-000068,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Night,2024-12-28 22:16:00,2024-12-29 06:44:39,8.48,19563.2,8216.5,7255.1,88.3,6.11,73.81,38,True,84
RUN-000069,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Night,2026-02-07 22:21:00,2026-02-08 05:17:16,6.94,20875.2,3757.5,3113.7,82.87,5.94,71.59,20,False,88
RUN-000070,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Milk 400ml,Morning,2026-05-31 06:18:00,2026-05-31 12:35:52,6.3,35636.1,10690.8,8721.7,81.58,6.12,74.19,61,True,155
RUN-000071,Ben Tre New Facility,Line 2,Desiccated Coconut Fine,Morning,2024-07-23 06:16:00,2024-07-23 16:03:31,9.79,32134.0,3856.1,2977.0,77.2,6.02,67.16,12,False,134
RUN-000072,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Night,2025-05-06 22:22:00,2025-05-07 07:41:28,9.32,41209.3,7417.7,6201.2,83.6,6.01,71.26,6,False,174
RUN-000073,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 330ml,Morning,2025-09-03 06:24:00,2025-09-03 14:12:08,7.8,18872.3,7926.4,6332.6,79.89,6.05,73.33,0,False,75
RUN-000074,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Morning,2025-08-31 06:07:00,2025-08-31 13:18:13,7.19,46378.5,19479.0,16567.9,85.06,6.0,69.59,2,False,194
RUN-000075,Ben Tre New Facility,Line 2,Desiccated Coconut Fine,Morning,2026-02-03 06:07:00,2026-02-03 12:53:00,6.77,29671.3,3560.6,3005.8,84.42,6.01,71.3,14,False,115
RUN-000076,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Afternoon,2025-09-26 14:06:00,2025-09-27 00:05:46,10.0,45294.7,13588.4,10757.8,79.17,6.06,74.57,21,False,173
RUN-000077,Ben Tre Main Plant,Line 3,Cocoxim Coconut Cream 400ml,Morning,2025-03-24 06:18:00,2025-03-24 15:29:25,9.19,15691.2,2824.4,2378.2,84.2,6.04,69.35,58,False,62
RUN-000078,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2026-03-29 06:19:00,2026-03-29 11:49:13,5.5,20088.3,1004.4,712.7,70.96,5.93,56.47,1,False,85
RUN-000079,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Pink 330ml,Afternoon,2024-09-16 14:10:00,2024-09-16 22:39:05,8.48,20585.2,8645.8,6523.0,75.45,5.99,65.96,88,False,94
RUN-000080,Ben Tre New Facility,Line 2,Desiccated Coconut Fine,Afternoon,2025-10-22 14:23:00,2025-10-22 23:36:20,9.22,19136.8,2296.4,1771.6,77.15,6.03,67.09,0,False,79
RUN-000081,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Cream 400ml,Afternoon,2026-03-31 14:03:00,2026-03-31 22:05:56,8.05,41522.7,7474.1,5993.0,80.18,6.08,72.35,26,True,170
RUN-000082,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Cream 400ml,Morning,2024-10-13 06:01:00,2024-10-13 15:41:39,9.68,30071.6,5412.9,4351.6,80.39,5.97,78.74,19,True,127
RUN-000083,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Milk 400ml,Night,2025-08-14 22:03:00,2025-08-15 07:03:07,9.0,36783.5,11035.0,8641.6,78.31,6.03,75.97,14,True,154
RUN-000084,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Night,2025-12-25 22:11:00,2025-12-26 02:32:47,4.36,31350.7,13167.3,11058.4,83.98,6.0,65.0,5,False,120
RUN-000085,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-02-20 06:25:00,2025-02-20 13:48:14,7.39,16166.6,6790.0,5839.0,85.99,5.99,74.63,6,False,67
RUN-000086,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 330ml,Morning,2025-03-26 06:04:00,2025-03-26 13:18:28,7.24,21305.0,8948.1,7576.3,84.67,6.09,71.28,0,False,94
RUN-000087,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Pink 330ml,Afternoon,2024-12-11 14:01:00,2024-12-11 18:46:37,4.76,37404.0,15709.7,12749.0,81.15,6.05,65.61,22,False,157
RUN-000088,Ben Tre Main Plant,Line 3,Cocoxim Coconut Milk 400ml,Night,2026-04-21 22:09:00,2026-04-22 04:53:53,6.75,14307.8,4292.3,3672.0,85.55,6.06,84.21,31,False,57
RUN-000089,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2024-08-22 06:08:00,2024-08-22 13:52:45,7.75,49928.3,2496.4,2115.3,84.73,5.98,69.35,22,False,199
RUN-000090,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Milk 400ml,Morning,2026-06-04 06:27:00,2026-06-04 14:22:41,7.93,45515.1,13654.5,12168.9,89.12,6.01,76.96,54,True,191
RUN-000091,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Afternoon,2024-09-21 14:13:00,2024-09-21 20:05:30,5.88,27845.5,8353.6,6800.5,81.41,6.04,65.22,2,False,115
RUN-000092,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2026-01-06 06:18:00,2026-01-06 16:02:23,9.74,48691.5,2434.6,2033.9,83.54,5.99,65.8,51,False,193
RUN-000093,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Afternoon,2026-02-20 14:11:00,2026-02-20 18:48:17,4.62,45182.9,18976.8,15013.5,79.12,6.06,75.98,46,True,179
RUN-000094,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Morning,2026-01-24 06:25:00,2026-01-24 12:59:28,6.57,47446.2,19927.4,17819.2,89.42,5.97,74.09,253,True,193
RUN-000095,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Afternoon,2024-12-17 14:22:00,2024-12-17 22:56:28,8.57,32365.0,1618.2,1337.1,82.63,5.96,68.38,3,False,136
RUN-000096,Ben Tre Main Plant,Line 3,Cocoxim Coconut Milk 400ml,Afternoon,2025-07-06 14:14:00,2025-07-06 20:16:43,6.05,35857.4,10757.2,9433.6,87.7,6.05,64.58,20,False,144
RUN-000097,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 330ml,Morning,2026-05-07 06:08:00,2026-05-07 12:47:31,6.66,39075.7,16411.8,13835.9,84.3,5.99,72.15,6,False,158
RUN-000098,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Night,2026-05-11 22:18:00,2026-05-12 05:13:11,6.92,30402.4,12769.0,11054.3,86.57,5.99,75.78,3,True,128
RUN-000099,Ben Tre Organic Plant,Line 1,Cocoxim Organic Coconut Water 1L,Night,2025-12-13 22:07:00,2025-12-14 05:07:05,7.0,32081.5,13474.2,10848.3,80.51,5.97,75.71,14,True,140
RUN-000100,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Afternoon,2026-01-24 14:22:00,2026-01-24 22:12:27,7.84,28642.1,12029.7,9865.7,82.01,5.99,72.58,11,False,124
RUN-000101,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Morning,2025-12-04 06:12:00,2025-12-04 15:25:23,9.22,34051.3,14301.5,11485.1,80.31,5.99,67.65,17,False,136
RUN-000102,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Cream 400ml,Morning,2026-04-07 06:07:00,2026-04-07 10:44:00,4.62,27590.9,4966.4,3956.0,79.66,5.95,72.17,35,True,115
RUN-000103,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Night,2026-01-14 22:14:00,2026-01-15 06:19:12,8.09,46185.5,13855.6,11641.7,84.02,5.97,65.98,49,False,194
RUN-000104,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 1L,Night,2025-09-11 22:09:00,2025-09-12 06:55:40,8.78,15015.1,6306.3,5171.2,82.0,5.97,68.75,15,False,64
RUN-000105,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Night,2026-03-07 22:16:00,2026-03-08 04:34:24,6.31,48827.2,20507.4,17052.7,83.15,6.0,70.2,23,False,198
RUN-000106,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Night,2025-06-02 22:02:00,2025-06-03 05:03:38,7.03,22664.7,6799.4,5225.1,76.85,5.92,62.77,14,False,94
RUN-000107,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Afternoon,2025-07-17 14:24:00,2025-07-17 20:25:48,6.03,15849.6,6656.8,5380.5,80.83,5.99,57.14,10,False,63
RUN-000108,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Milk 400ml,Morning,2025-05-23 06:18:00,2025-05-23 14:16:54,7.98,33369.8,10010.9,8134.3,81.25,5.96,74.82,69,True,139
RUN-000109,Ben Tre Organic Plant,Line 2,Cocoxim Organic Coconut Milk 400ml,Night,2026-05-03 22:26:00,2026-05-04 08:06:57,9.68,44458.5,13337.6,11500.1,86.22,6.0,77.72,11,True,184
RUN-000110,Ben Tre Main Plant,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-10-26 06:07:00,2025-10-26 16:06:59,10.0,22975.1,9649.5,7215.9,74.78,5.96,69.66,17,False,89
RUN-000111,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2026-03-10 06:19:00,2026-03-10 12:34:37,6.26,21889.4,9193.5,7792.0,84.76,6.03,67.03,14,False,91
RUN-000112,Ben Tre New Facility,Line 2,Desiccated Coconut Fine,Afternoon,2026-03-03 14:24:00,2026-03-03 22:53:28,8.49,42100.8,5052.1,4060.0,80.36,5.97,60.37,41,False,164
RUN-000113,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Afternoon,2025-10-01 14:24:00,2025-10-01 20:41:28,6.29,44426.0,2221.3,1876.7,84.49,5.98,68.11,7,False,185
RUN-000114,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-04-03 06:24:00,2025-04-03 11:21:42,4.96,40165.3,16869.4,13950.8,82.7,6.02,67.88,2,False,165
RUN-000115,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2025-08-14 06:12:00,2025-08-14 13:12:43,7.01,28275.3,1413.8,1222.5,86.47,6.01,61.82,0,False,110
RUN-000116,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2024-11-03 06:09:00,2024-11-03 15:39:15,9.5,41801.0,2090.0,1846.3,88.34,6.04,67.65,15,False,170
RUN-000117,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Morning,2025-01-22 06:17:00,2025-01-22 15:55:28,9.64,44618.6,18739.8,14460.7,77.17,6.0,64.86,175,False,185
RUN-000118,Ben Tre New Facility,Line 4,Cocoxim Coconut Milk 1L,Afternoon,2024-10-07 14:19:00,2024-10-07 21:31:58,7.22,44534.0,13360.2,10580.5,79.19,6.0,65.75,14,False,181
RUN-000119,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Pink 330ml,Night,2026-04-27 22:02:00,2026-04-28 05:10:27,7.14,34115.2,14328.4,12793.3,89.29,5.95,73.94,38,False,142
RUN-000120,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Pink 330ml,Afternoon,2026-03-28 14:11:00,2026-03-28 19:42:18,5.52,13578.4,5702.9,5018.1,87.99,6.04,77.78,33,False,54
RUN-000121,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Afternoon,2024-07-31 14:17:00,2024-07-31 20:18:52,6.03,24671.7,1233.6,1085.6,88.0,6.1,73.4,29,False,94
RUN-000122,Ben Tre New Facility,Line 1,Cocoxim Coconut Water Original 1L,Afternoon,2024-07-23 14:06:00,2024-07-23 18:21:46,4.26,25025.3,10510.6,9328.5,88.75,6.04,69.31,19,False,101
RUN-000123,Ben Tre New Facility,Line 2,Desiccated Coconut Fine,Morning,2025-06-16 06:27:00,2025-06-16 14:23:03,7.93,28717.6,3446.1,3032.8,88.01,6.05,74.79,12,False,119
RUN-000124,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Night,2025-11-06 22:15:00,2025-11-07 04:27:14,6.2,44411.9,2220.6,1915.5,86.26,6.0,60.44,2,False,182
RUN-000125,Ben Tre New Facility,Line 3,Cocoxim Coconut Oil 500ml,Morning,2024-09-29 06:10:00,2024-09-29 14:07:55,7.97,30948.0,1547.4,1262.9,81.61,5.97,61.72,29,False,128
RUN-000126,Ben Tre Main Plant,Line 2,Cocoxim Coconut Water Lychee 330ml,Night,2025-03-24 22:25:00,2025-03-25 08:06:14,9.69,16005.5,6722.3,5571.8,82.89,6.04,63.77,40,False,69
